Week,Day,Title,Link,dtitle1,dlink1,dpoints1,drubric1,dtype1,dtitle2,dlink2,dpoints2,drubric2,dtype2,dtitle3,dlink3,dpoints3,drubric3,dtype3,rtitle1,rlink1,rtitle2,rlink2,rtitle3,rlink3,rtitle4,rlink4,rtitle5,rlink5
0,1,Course Overview,../Ursinus-CS375-Overview,Homework Assignment: Warmup Handed Out,./Assignments/Warmup,10,,noupload,,,,,,,,,,,,,,,,,,,,
0,2,Introduction,./files/software-engineering/01-introduction.pdf,Participation: Pre-Assessment Handed Out,./Assignments/Participation/PreAssessment,10,,written,,,,,,,,,,,,,,,,,,,,
1,0,Software Project Brainstorm,,Software Project Proposal: Project Proposal Handed Out,./Project/Proposal,100,_pages/Project/project-proposal.md,written,,,,,,,,,,,MMM Chapter 16,,,,,,,,,
1,1,Software Team Formation,,Homework Assignment: Warmup Due,./Assignments/Warmup,10,,noupload,,,,,,,,,,,,,,,,,,,,
1,2,Version Control with git,./files/software-engineering/02-git-oop.pdf,Participation: Pre-Assessment Due,./Assignments/Participation/PreAssessment,10,,written,Homework Assignment: git Handed Out,./Assignments/git,100,,,,,,,,,,,,,,,,,
3,0,Software Engineering: from Waterfall to Agile,./files/software-engineering/04-software-processes.pdf,Software Project Proposal: Project Proposal Due,./Project/Proposal,100,_pages/Project/project-proposal.md,written,,,,,,,,,,,,,,,,,,,,
3,1,Stakeholder-based Design,./Activities/StakeholderDesign,Software Requirements Report: Requirements Document Handed Out,./Project/Requirements,100,_pages/Project/project-requirements.md,written,,,,,,,,,,,,,,,,,,,,
3,2,Agile Methods: User Stories,./files/software-engineering/05-agile-methods.pdf,Homework Assignment: git Due,./Assignments/git,100,,,Homework Assignment: Weekly Standup Reflection Handed Out,./Assignments/StandupReflection,10,_pages/Assignments/assignment-standupreflection.md,written,,,,,,,,,,,,,,,
4,0,Task Dependencies: Gantt Charts and the Critical Path,./Activities/Gantt,Software Requirements Report: Requirements Document Due,./Project/Requirements,100,_pages/Project/project-requirements.md,written,Software Design: Design Report Handed Out,./Project/Design,100,_pages/Project/project-design.md,written,Homework Assignment: Weekly Standup Reflection Due,./Assignments/StandupReflection,10,_pages/Assignments/assignment-Standupreflection.md,,MMM Chapter 2,,,,,,,,,
4,1,Requirements Engineering,./files/software-engineering/12-requirements-engineering.pdf,Participation: First Self-Assessment Handed Out,./Assignments/Participation/SelfAssessment,10,,written,,,,,,,,,,,,,,,,,,,,
4,2,"Software Architecture (front end, microservices, backend)",./files/software-architecture/software-architecture.pdf,,,,,,,,,,,,,,,,Re-Engineering a Reverse Engineering Portal to a Distributed SOA by William M. Mongan,https://www.cs.drexel.edu/~spiros/papers/ICPC08.pdf,,,,,,,,
5,0,UML Class Diagrams,./files/software-engineering/03-uml-testing.pdf,Homework Assignment: Weekly Standup Reflection Due,./Assignments/StandupReflection,10,_pages/Assignments/assignment-Standupreflection.md,written,,,,,,,,,,,On the Use of Radio Frequency Identification for Continuous Biomedical Monitoring by William M. Mongan,https://dl.acm.org/doi/pdf/10.1145/3054977.3055002?download=true,Python Flask Database Example,https://replit.com/@BillJr99/FlaskDBDemo#main.py,,,,,,
5,1,Software Design: Design Patterns,./files/software-engineering/06-design-patterns-intro.pdf,,,,,,,,,,,,,,,,DPE Textbook,,,,,,,,,
5,2,Software Design: Design Patterns (Continued),./files/software-engineering/07-design-patterns-2.pdf,Software Design: Design Report Due,./Project/Design,100,_pages/Project/project-design.md,written,,,,,,,,,,written,,,,,,,,,,
6,0,Software Testing: User Acceptance Testing,./files/software-engineering/11-testing-ci.pdf,Participation: First Self-Assessment Due,./Assignments/Participation/SelfAssessment,10,,written,,,,,,,,,,,,,,,,,,,,
6,1,Software Testing: Unit Testing (white box) and Output Testing (black box),./Activities/TestingCodeCoverage,Software Test Plan: Test Plan Handed Out,./Project/TestPlan,100,_pages/Project/project-testplan.md,written,,,,,,,,,,,Software Testing,https://ocw.mit.edu/ans7870/6/6.005/s16/classes/03-testing/,,,,,,,,
6,2,Software Testing: Unit Testing (white box) and Output Testing (black box),,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,Code Coverage and Control Flow Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,Control Flow Coverage,,Homework Assignment: Weekly Standup Reflection Due,./Assignments/StandupReflection,10,_pages/Assignments/assignment-Standupreflection.md,written,,,,,,,,,,,,,,,,,,,,
8,2,Code Quality,./files/software-engineering/08-code-quality.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,GUI,./Activities/GUI,Homework Assignment: Weekly Standup Reflection Due,./Assignments/StandupReflection,10,_pages/Assignments/assignment-Standupreflection.md,written,,,,,,,,,,,User Interface Design Basics from usability.gov,https://www.usability.gov/what-and-why/user-interface-design.html,,,,,,,,
10,1,GUI,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,Cloud Architectures,./Activities/Cloud,Software Test Plan: Test Plan Due,./Project/TestPlan,100,_pages/Project/project-testplan.md,written,,,,,,,,,,,Development and Specification of a Reference Model for Agent-Based Systems by William C. Regli et al,https://tjkopena.com/publications/04926156.pdf,,,,,,,,
11,0,Cloud Architectures,,Homework Assignment: Weekly Standup Reflection Due,./Assignments/StandupReflection,10,_pages/Assignments/assignment-Standupreflection.md,written,,,,,,,,,,,,,,,,,,,,
11,1,Cloud Architectures,,,,,,,,,,,,,,,,,Developing an Agent Systems Reference Architecture by Duc N. Nguyen et al,https://apps.dtic.mil/dtic/tr/fulltext/u2/a549190.pdf,,,,,,,,
11,2,Ethical Software Engineering Case Study: The Therac-25,./Activities/EthicalCaseTherac25,,,,,,,,,,,,,,,,Medical Devices: The Therac-25 by Nancy Levinson,https://www.cs.ucf.edu/~dcm/Teaching/COP4600-Fall2010/Literature/Therac25-Leveson.pdf,Therac-25 Case Narrative,https://onlineethics.org/cases/therac-25/therac-25-case-narrative,THERAC-25: History's Worst Software Error by Kyle Hill,https://www.youtube.com/watch?v=Ap0orGCiou8,,,,
12,0,Project Workshop,,Homework Assignment: Weekly Standup Reflection Due,./Assignments/StandupReflection,10,_pages/Assignments/assignment-Standupreflection.md,written,,,,,,,,,,,,,,,,,,,,
